datetime,weather_description,temperature,humidity,pressure,wind_direction,wind_speed
2012-10-01 12:00:00,,,,,,
2012-10-01 13:00:00,light rain,294.03,94.0,1006.0,110.0,3.0
2012-10-01 14:00:00,overcast clouds,294.03534141,94.0,1006.0,110.0,3.0
2012-10-01 15:00:00,overcast clouds,294.049702185,94.0,1006.0,111.0,3.0
2012-10-01 16:00:00,overcast clouds,294.064062959,94.0,1006.0,111.0,3.0
2012-10-01 17:00:00,overcast clouds,294.078423734,94.0,1006.0,112.0,3.0
2012-10-01 18:00:00,overcast clouds,294.092784509,94.0,1006.0,113.0,3.0
2012-10-01 19:00:00,overcast clouds,294.107145283,94.0,1006.0,114.0,3.0
2012-10-01 20:00:00,overcast clouds,294.121506058,94.0,1006.0,115.0,3.0
2012-10-01 21:00:00,overcast clouds,294.135866832,94.0,1006.0,116.0,3.0
2012-10-01 22:00:00,overcast clouds,294.150227607,94.0,1006.0,116.0,3.0
2012-10-01 23:00:00,overcast clouds,294.164588381,94.0,1006.0,117.0,3.0
2012-10-02 00:00:00,overcast clouds,294.178949156,94.0,1006.0,118.0,3.0
2012-10-02 01:00:00,overcast clouds,294.193309931,94.0,1006.0,119.0,3.0
2012-10-02 02:00:00,overcast clouds,294.207670705,94.0,1006.0,120.0,3.0
2012-10-02 03:00:00,overcast clouds,294.22203148,94.0,1006.0,120.0,3.0
2012-10-02 04:00:00,overcast clouds,294.236392254,94.0,1006.0,121.0,3.0
2012-10-02 05:00:00,overcast clouds,294.250753029,94.0,1006.0,122.0,3.0
2012-10-02 06:00:00,overcast clouds,294.265113803,94.0,1006.0,123.0,3.0
2012-10-02 07:00:00,overcast clouds,294.279474578,94.0,1006.0,124.0,3.0
2012-10-02 08:00:00,overcast clouds,294.293835353,94.0,1006.0,125.0,3.0
2012-10-02 09:00:00,overcast clouds,294.308196127,94.0,1006.0,125.0,3.0
2012-10-02 10:00:00,overcast clouds,294.322556902,94.0,1006.0,126.0,4.0
2012-10-02 11:00:00,overcast clouds,294.336917676,94.0,1006.0,127.0,4.0
2012-10-02 12:00:00,overcast clouds,294.351278451,94.0,1006.0,128.0,4.0
2012-10-02 13:00:00,overcast clouds,294.365639225,94.0,1006.0,129.0,4.0
2012-10-02 14:00:00,heavy intensity rain,294.38,94.0,1006.0,130.0,4.0
2012-10-02 15:00:00,light rain,295.01,94.0,1006.0,140.0,4.0
2012-10-02 16:00:00,moderate rain,295.04,100.0,1005.0,150.0,6.0
2012-10-02 17:00:00,mist,295.26,88.0,1006.0,150.0,8.0
2012-10-02 18:00:00,heavy intensity rain,295.14,94.0,1005.0,190.0,2.0
2012-10-02 19:00:00,heavy intensity rain,295.46,94.0,1005.0,170.0,3.0
2012-10-02 20:00:00,moderate rain,295.77,94.0,1005.0,160.0,3.0
2012-10-02 21:00:00,overcast clouds,296.28,100.0,1004.0,170.0,4.0
2012-10-02 22:00:00,moderate rain,295.97,94.0,1004.0,150.0,2.0
2012-10-02 23:00:00,light intensity drizzle,295.41,94.0,1004.0,170.0,3.0
2012-10-03 00:00:00,mist,295.36,94.0,1004.0,170.0,3.0
2012-10-03 01:00:00,mist,295.51,88.0,1005.0,170.0,3.0
2012-10-03 02:00:00,moderate rain,295.16,94.0,1005.0,170.0,2.0
2012-10-03 03:00:00,mist,295.21,94.0,1005.0,170.0,1.0
2012-10-03 04:00:00,light intensity drizzle,295.1,94.0,1005.0,0.0,0.0
2012-10-03 05:00:00,mist,294.93,94.0,1005.0,170.0,1.0
2012-10-03 06:00:00,mist,295.04,94.0,1005.0,170.0,2.0
2012-10-03 07:00:00,overcast clouds,294.12,100.0,1005.0,0.0,0.0
2012-10-03 08:00:00,overcast clouds,294.07,100.0,1005.0,0.0,0.0
2012-10-03 09:00:00,overcast clouds,293.51,88.0,1006.0,220.0,2.0
2012-10-03 10:00:00,overcast clouds,292.65,83.0,1006.0,220.0,2.0
2012-10-03 11:00:00,scattered clouds,292.06,93.0,1007.0,190.0,2.0
2012-10-03 12:00:00,broken clouds,291.6,93.0,1008.0,190.0,2.0
2012-10-03 13:00:00,drizzle,291.5,88.0,1009.0,190.0,2.0
2012-10-03 14:00:00,scattered clouds,291.98,77.0,1009.0,210.0,4.0
2012-10-03 15:00:00,broken clouds,292.43,72.0,1009.0,210.0,4.0
2012-10-03 16:00:00,broken clouds,292.88,68.0,1010.0,210.0,4.0
2012-10-03 17:00:00,overcast clouds,293.33,64.0,1011.0,210.0,4.0
2012-10-03 18:00:00,overcast clouds,293.44,68.0,1011.0,230.0,2.0
2012-10-03 19:00:00,mist,293.29,72.0,1011.0,220.0,4.0
2012-10-03 20:00:00,overcast clouds,293.55,73.0,1011.0,0.0,2.0
2012-10-03 21:00:00,overcast clouds,293.63,73.0,1012.0,200.0,3.0
2012-10-03 22:00:00,broken clouds,293.165,73.0,1012.0,200.0,2.0
2012-10-03 23:00:00,mist,292.7,73.0,1013.0,200.0,2.0
2012-10-04 00:00:00,mist,291.9,88.0,1014.0,250.0,1.0
2012-10-04 01:00:00,mist,291.57,88.0,1014.0,220.0,1.0
2012-10-04 02:00:00,overcast clouds,291.1,93.0,1015.0,0.0,0.0
2012-10-04 03:00:00,overcast clouds,290.58,88.0,1016.0,240.0,2.0
2012-10-04 04:00:00,scattered clouds,290.28,93.0,1016.0,0.0,0.0
2012-10-04 05:00:00,sky is clear,289.93,93.0,1017.0,230.0,1.0
2012-10-04 06:00:00,mist,288.99,93.0,1017.0,0.0,0.0
2012-10-04 07:00:00,mist,288.75,100.0,1017.0,280.0,2.0
2012-10-04 08:00:00,fog,288.06,93.0,1017.0,0.0,0.0
2012-10-04 09:00:00,fog,287.93,100.0,1017.0,0.0,0.0
2012-10-04 10:00:00,mist,287.53,100.0,1018.0,0.0,0.0
2012-10-04 11:00:00,fog,287.39,93.0,1019.0,0.0,0.0
2012-10-04 12:00:00,mist,287.66,100.0,1019.0,0.0,0.0
2012-10-04 13:00:00,mist,288.58,100.0,1020.0,0.0,0.0
2012-10-04 14:00:00,mist,289.52,93.0,1021.0,0.0,0.0
2012-10-04 15:00:00,mist,291.45,82.0,1021.0,0.0,0.0
2012-10-04 16:00:00,few clouds,292.53,72.0,1021.0,0.0,0.0
2012-10-04 17:00:00,mist,294.24,64.0,1021.0,0.0,0.0
2012-10-04 18:00:00,few clouds,294.44,56.0,1021.0,210.0,2.0
2012-10-04 19:00:00,scattered clouds,294.43,60.0,1020.0,230.0,1.0
2012-10-04 20:00:00,few clouds,294.67,60.0,1020.0,260.0,1.0
2012-10-04 21:00:00,sky is clear,295.01,56.0,1020.0,250.0,2.0
2012-10-04 22:00:00,few clouds,294.81,56.0,1021.0,220.0,2.0
2012-10-04 23:00:00,sky is clear,293.22,64.0,1021.0,0.0,0.0
2012-10-05 00:00:00,sky is clear,291.85,82.0,1021.0,0.0,0.0
2012-10-05 01:00:00,sky is clear,290.5,93.0,1022.0,0.0,0.0
2012-10-05 02:00:00,mist,289.59,93.0,1022.0,0.0,0.0
2012-10-05 03:00:00,mist,289.27,93.0,1023.0,0.0,0.0
2012-10-05 04:00:00,mist,288.84,93.0,1023.0,0.0,0.0
2012-10-05 05:00:00,mist,288.37,100.0,1023.0,0.0,0.0
2012-10-05 06:00:00,mist,288.52,93.0,1023.0,0.0,0.0
2012-10-05 07:00:00,overcast clouds,288.4,93.0,1023.0,0.0,0.0
2012-10-05 08:00:00,mist,288.28,93.0,1023.0,0.0,0.0
2012-10-05 09:00:00,overcast clouds,287.995,93.0,1023.0,0.0,0.0
2012-10-05 10:00:00,fog,287.71,93.0,1024.0,0.0,0.0
2012-10-05 11:00:00,fog,287.09,100.0,1025.0,0.0,0.0
2012-10-05 12:00:00,fog,286.53,93.0,1025.0,0.0,0.0
2012-10-05 13:00:00,fog,288.55,93.0,1025.0,0.0,0.0
2012-10-05 14:00:00,mist,291.67,88.0,1026.0,0.0,0.0
2012-10-05 15:00:00,sky is clear,294.07,73.0,1026.0,0.0,0.0
2012-10-05 16:00:00,sky is clear,295.74,56.0,1026.0,280.0,2.0
2012-10-05 17:00:00,sky is clear,296.38,60.0,1026.0,0.0,0.0
2012-10-05 18:00:00,sky is clear,298.12,47.0,1026.0,20.0,2.0
2012-10-05 19:00:00,sky is clear,299.01,47.0,1025.0,0.0,0.0
2012-10-05 20:00:00,sky is clear,299.43,44.0,1024.0,330.0,3.0
2012-10-05 21:00:00,scattered clouds,299.17,47.0,1024.0,20.0,2.0
2012-10-05 22:00:00,sky is clear,298.9,47.0,1024.0,340.0,2.0
2012-10-05 23:00:00,sky is clear,297.77,53.0,1024.0,340.0,1.0
2012-10-06 00:00:00,sky is clear,293.79,64.0,1023.0,0.0,0.0
2012-10-06 01:00:00,sky is clear,292.05,77.0,1023.0,0.0,0.0
2012-10-06 02:00:00,sky is clear,291.75,77.0,1024.0,0.0,0.0
2012-10-06 03:00:00,mist,289.61,82.0,1024.0,0.0,0.0
2012-10-06 04:00:00,mist,289.18,87.0,1024.0,0.0,0.0
