datetime,weather_description,temperature,humidity,pressure,wind_direction,wind_speed
2012-10-01 12:00:00,,,,,,
2012-10-01 13:00:00,mist,288.65,87.0,1012.0,70.0,4.0
2012-10-01 14:00:00,overcast clouds,288.650172214,87.0,1012.0,70.0,4.0
2012-10-01 15:00:00,overcast clouds,288.650581705,87.0,1012.0,71.0,4.0
2012-10-01 16:00:00,overcast clouds,288.650991196,87.0,1012.0,71.0,4.0
2012-10-01 17:00:00,overcast clouds,288.651400687,87.0,1012.0,72.0,4.0
2012-10-01 18:00:00,overcast clouds,288.651810178,87.0,1012.0,73.0,4.0
2012-10-01 19:00:00,overcast clouds,288.652219669,87.0,1012.0,74.0,4.0
2012-10-01 20:00:00,overcast clouds,288.65262916,87.0,1012.0,75.0,4.0
2012-10-01 21:00:00,overcast clouds,288.653038651,87.0,1012.0,76.0,4.0
2012-10-01 22:00:00,overcast clouds,288.653448143,87.0,1012.0,76.0,4.0
2012-10-01 23:00:00,overcast clouds,288.653857634,87.0,1012.0,77.0,4.0
2012-10-02 00:00:00,overcast clouds,288.654267125,87.0,1012.0,78.0,4.0
2012-10-02 01:00:00,overcast clouds,288.654676616,87.0,1012.0,79.0,4.0
2012-10-02 02:00:00,overcast clouds,288.655086107,87.0,1012.0,80.0,4.0
2012-10-02 03:00:00,overcast clouds,288.655495598,87.0,1012.0,80.0,4.0
2012-10-02 04:00:00,overcast clouds,288.655905089,87.0,1012.0,81.0,4.0
2012-10-02 05:00:00,overcast clouds,288.65631458,87.0,1012.0,82.0,4.0
2012-10-02 06:00:00,overcast clouds,288.656724071,87.0,1012.0,83.0,4.0
2012-10-02 07:00:00,overcast clouds,288.657133562,87.0,1012.0,84.0,4.0
2012-10-02 08:00:00,overcast clouds,288.657543053,87.0,1012.0,85.0,4.0
2012-10-02 09:00:00,overcast clouds,288.657952545,87.0,1012.0,85.0,4.0
2012-10-02 10:00:00,overcast clouds,288.658362036,87.0,1012.0,86.0,4.0
2012-10-02 11:00:00,overcast clouds,288.658771527,87.0,1012.0,87.0,4.0
2012-10-02 12:00:00,overcast clouds,288.659181018,87.0,1012.0,88.0,4.0
2012-10-02 13:00:00,overcast clouds,288.659590509,87.0,1012.0,89.0,4.0
2012-10-02 14:00:00,moderate rain,288.66,87.0,1013.0,90.0,4.0
2012-10-02 15:00:00,moderate rain,288.6,82.0,1013.0,80.0,4.0
2012-10-02 16:00:00,mist,288.65,93.0,1013.0,0.0,0.0
2012-10-02 17:00:00,mist,288.65,100.0,1013.0,60.0,2.0
2012-10-02 18:00:00,mist,288.91,87.0,1012.0,80.0,2.0
2012-10-02 19:00:00,mist,289.25,100.0,1012.0,70.0,2.0
2012-10-02 20:00:00,light intensity drizzle,289.59,100.0,1011.0,50.0,3.0
2012-10-02 21:00:00,mist,289.7,100.0,1012.0,50.0,1.0
