datetime,weather_description,temperature,humidity,pressure,wind_direction,wind_speed
2012-10-01 12:00:00,,,,,,
2012-10-01 13:00:00,overcast clouds,285.83,93.0,1001.0,230.0,4.0
2012-10-01 14:00:00,sky is clear,285.834649953,91.0,986.0,230.0,4.0
2012-10-01 15:00:00,sky is clear,285.847789539,87.0,945.0,231.0,4.0
2012-10-01 16:00:00,sky is clear,285.860929124,84.0,904.0,233.0,4.0
2012-10-01 17:00:00,sky is clear,285.874068709,80.0,863.0,234.0,3.0
2012-10-01 18:00:00,sky is clear,285.887208294,76.0,822.0,236.0,3.0
2012-10-01 19:00:00,sky is clear,285.90034788,72.0,,237.0,3.0
2012-10-01 20:00:00,sky is clear,285.913487465,68.0,,238.0,3.0
2012-10-01 21:00:00,sky is clear,285.92662705,64.0,,240.0,3.0
2012-10-01 22:00:00,sky is clear,285.939766635,61.0,,241.0,3.0
2012-10-01 23:00:00,sky is clear,285.952906221,57.0,,243.0,2.0
2012-10-02 00:00:00,sky is clear,285.966045806,53.0,,244.0,2.0
2012-10-02 01:00:00,sky is clear,285.979185391,49.0,,245.0,2.0
2012-10-02 02:00:00,sky is clear,285.992324977,45.0,,247.0,2.0
2012-10-02 03:00:00,sky is clear,286.005464562,42.0,,248.0,2.0
2012-10-02 04:00:00,sky is clear,286.018604147,38.0,,250.0,1.0
2012-10-02 05:00:00,sky is clear,286.031743732,34.0,,251.0,1.0
2012-10-02 06:00:00,sky is clear,286.044883318,30.0,,252.0,1.0
2012-10-02 07:00:00,sky is clear,286.058022903,26.0,,254.0,1.0
2012-10-02 08:00:00,sky is clear,286.071162488,22.0,,255.0,1.0
2012-10-02 09:00:00,sky is clear,286.084302074,19.0,,257.0,0.0
2012-10-02 10:00:00,sky is clear,286.097441659,15.0,,258.0,0.0
2012-10-02 11:00:00,sky is clear,286.110581244,11.0,,259.0,0.0
2012-10-02 12:00:00,sky is clear,286.123720829,7.0,,261.0,0.0
2012-10-02 13:00:00,sky is clear,286.136860415,,,262.0,0.0
2012-10-02 14:00:00,sky is clear,286.15,,,264.0,0.0
2012-10-02 15:00:00,overcast clouds,287.55,82.0,1002.0,280.0,5.0
2012-10-02 16:00:00,sky is clear,288.14,,,276.0,1.0
2012-10-02 17:00:00,sky is clear,288.69,,,289.0,2.0
2012-10-02 18:00:00,overcast clouds,288.94,82.0,1006.0,270.0,5.0
2012-10-02 19:00:00,sky is clear,288.94,,,282.0,2.0
2012-10-02 20:00:00,sky is clear,288.69,,,239.0,5.0
2012-10-02 21:00:00,overcast clouds,288.55,77.0,1007.0,260.0,7.0
2012-10-02 22:00:00,sky is clear,288.22,,,284.0,0.0
2012-10-02 23:00:00,sky is clear,287.92,,,267.0,0.0
2012-10-03 00:00:00,sky is clear,287.67,,,261.0,0.0
2012-10-03 01:00:00,sky is clear,287.41,,,253.0,2.0
2012-10-03 02:00:00,broken clouds,285.86,87.0,1011.0,240.0,1.0
2012-10-03 03:00:00,sky is clear,285.8,,,234.0,0.0
2012-10-03 04:00:00,sky is clear,285.36,,,218.0,1.0
2012-10-03 05:00:00,broken clouds,285.62,93.0,1012.0,220.0,2.0
2012-10-03 06:00:00,sky is clear,285.47,,,252.0,0.0
2012-10-03 07:00:00,fog,284.76,100.0,1012.0,230.0,2.0
2012-10-03 08:00:00,sky is clear,284.69,,,232.0,0.0
2012-10-03 09:00:00,mist,284.66,100.0,1013.0,250.0,3.0
2012-10-03 10:00:00,fog,284.47,100.0,1013.0,240.0,2.0
2012-10-03 11:00:00,mist,283.75,93.0,1014.0,160.0,2.0
2012-10-03 12:00:00,scattered clouds,284.41,96.0,1014.0,205.0,2.0
2012-10-03 13:00:00,fog,285.07,100.0,1015.0,250.0,3.0
2012-10-03 14:00:00,sky is clear,286.34,,,227.0,0.0
2012-10-03 15:00:00,sky is clear,287.556666667,,,220.0,1.0
2012-10-03 16:00:00,sky is clear,288.773333333,,,213.0,2.0
2012-10-03 17:00:00,sky is clear,289.99,,,207.0,3.0
2012-10-03 18:00:00,sky is clear,291.13,,,233.0,2.0
2012-10-03 19:00:00,sky is clear,291.97,,,190.0,0.0
2012-10-03 20:00:00,sky is clear,292.09,,,240.0,1.0
2012-10-03 21:00:00,sky is clear,292.21,,,208.0,1.0
2012-10-03 22:00:00,sky is clear,291.38,38.0,,229.0,1.0
2012-10-03 23:00:00,sky is clear,290.55,77.0,,250.0,1.0
2012-10-04 00:00:00,sky is clear,289.0,,,168.0,0.0
2012-10-04 01:00:00,sky is clear,287.96,,,169.0,0.0
2012-10-04 02:00:00,few clouds,285.9,93.0,1017.0,150.0,1.0
2012-10-04 03:00:00,fog,285.61,93.0,1017.0,120.0,1.0
2012-10-04 04:00:00,mist,285.08,93.0,1017.0,120.0,1.0
2012-10-04 05:00:00,fog,283.67,100.0,1017.0,80.0,1.0
2012-10-04 06:00:00,fog,283.2,100.0,1018.0,50.0,1.0
2012-10-04 07:00:00,fog,283.14,100.0,1018.0,50.0,1.0
2012-10-04 08:00:00,fog,282.83,100.0,1018.0,30.0,1.0
2012-10-04 09:00:00,mist,283.24,93.0,1018.0,10.0,1.0
2012-10-04 10:00:00,fog,283.3,100.0,1018.0,40.0,2.0
2012-10-04 11:00:00,sky is clear,283.02,,,351.0,0.0
2012-10-04 12:00:00,mist,283.38,93.0,1019.0,10.0,2.0
2012-10-04 13:00:00,mist,284.55,100.0,1020.0,50.0,2.0
2012-10-04 14:00:00,mist,285.7,,,30.0,5.0
2012-10-04 15:00:00,sky is clear,286.85,,,355.0,0.0
2012-10-04 16:00:00,sky is clear,288.36,,,46.0,0.0
2012-10-04 17:00:00,sky is clear,289.34,,,59.0,0.0
2012-10-04 18:00:00,sky is clear,290.48,,,45.0,0.0
2012-10-04 19:00:00,sky is clear,291.63,,,10.0,1.0
2012-10-04 20:00:00,sky is clear,292.58,,1016.0,15.0,1.0
2012-10-04 21:00:00,sky is clear,292.27,,,346.0,0.0
2012-10-04 22:00:00,sky is clear,292.14,,,84.0,0.0
2012-10-04 23:00:00,overcast clouds,291.43,72.0,1019.0,50.0,3.0
2012-10-05 00:00:00,sky is clear,291.3,,,49.0,0.0
2012-10-05 01:00:00,overcast clouds,290.63,72.0,1019.0,50.0,2.0
2012-10-05 02:00:00,overcast clouds,290.51,72.0,1020.0,50.0,3.0
2012-10-05 03:00:00,overcast clouds,290.44,82.0,1020.0,50.0,2.0
2012-10-05 04:00:00,overcast clouds,290.26,93.0,1020.0,40.0,1.0
2012-10-05 05:00:00,overcast clouds,289.52,,,40.0,3.0
2012-10-05 06:00:00,overcast clouds,289.37,87.0,1020.0,360.0,2.0
2012-10-05 07:00:00,overcast clouds,287.885,90.0,1020.0,185.0,3.0
2012-10-05 08:00:00,light rain,286.4,93.0,1020.0,10.0,3.0
2012-10-05 09:00:00,overcast clouds,285.78,93.0,1020.0,15.0,3.0
2012-10-05 10:00:00,light intensity drizzle,285.16,93.0,1020.0,20.0,2.0
2012-10-05 11:00:00,sky is clear,285.09,,,343.0,0.0
2012-10-05 12:00:00,mist,285.04,,,30.0,3.0
2012-10-05 13:00:00,mist,285.16,,,10.0,3.0
2012-10-05 14:00:00,mist,285.22,,,20.0,3.0
2012-10-05 15:00:00,mist,285.3,,,10.0,2.0
2012-10-05 16:00:00,mist,285.63,,,20.0,2.0
2012-10-05 17:00:00,mist,286.4,,,0.0,0.0
2012-10-05 18:00:00,mist,286.8,,,0.0,0.0
2012-10-05 19:00:00,mist,287.34,,,40.0,1.0
2012-10-05 20:00:00,mist,287.5,,,0.0,0.0
2012-10-05 21:00:00,mist,287.94,93.0,1017.0,80.0,1.0
2012-10-05 22:00:00,mist,288.13,,,0.0,0.0
2012-10-05 23:00:00,mist,288.04,100.0,1015.0,170.0,2.0
2012-10-06 00:00:00,fog,287.47,93.0,1016.0,170.0,2.0
2012-10-06 01:00:00,sky is clear,287.24,,,130.0,1.0
2012-10-06 02:00:00,sky is clear,286.92,,,126.0,0.0
2012-10-06 03:00:00,fog,286.73,93.0,1015.0,150.0,1.0
2012-10-06 04:00:00,mist,287.22,100.0,1014.0,160.0,3.0
2012-10-06 05:00:00,mist,287.73,,,220.0,3.0
2012-10-06 06:00:00,sky is clear,286.89,,,193.0,3.0
2012-10-06 07:00:00,mist,286.49,100.0,1014.0,270.0,1.0
2012-10-06 08:00:00,sky is clear,286.425,96.0,1014.0,260.0,2.0
2012-10-06 09:00:00,sky is clear,286.36,93.0,1014.0,250.0,3.0
2012-10-06 10:00:00,sky is clear,286.21,,,249.0,0.0
2012-10-06 11:00:00,sky is clear,286.26,,,263.0,0.0
2012-10-06 12:00:00,sky is clear,286.07,,,218.0,2.0
2012-10-06 13:00:00,mist,287.92,93.0,1014.0,230.0,2.0
2012-10-06 14:00:00,sky is clear,289.39,,,238.0,2.0
2012-10-06 15:00:00,mist,290.79,93.0,,240.0,3.0
2012-10-06 16:00:00,light rain,291.28,,,209.0,0.0
2012-10-06 17:00:00,overcast clouds,291.47,,,210.0,4.0
2012-10-06 18:00:00,sky is clear,292.01,,,225.0,2.0
2012-10-06 19:00:00,light rain,292.63,,,195.0,5.0
2012-10-06 20:00:00,sky is clear,293.14,,,206.0,3.0
2012-10-06 21:00:00,sky is clear,293.63,,,207.0,0.0
2012-10-06 22:00:00,sky is clear,293.22,,,233.0,1.0
2012-10-06 23:00:00,overcast clouds,291.5,77.0,1009.0,220.0,6.0
2012-10-07 00:00:00,sky is clear,291.37,,,276.0,2.0
2012-10-07 01:00:00,sky is clear,291.46,,,226.0,0.0
2012-10-07 02:00:00,overcast clouds,290.8,77.0,1010.0,220.0,6.0
2012-10-07 03:00:00,sky is clear,290.67,,,229.0,1.0
2012-10-07 04:00:00,sky is clear,289.99,,,224.0,3.0
2012-10-07 05:00:00,sky is clear,289.64,,,236.0,1.0
2012-10-07 06:00:00,overcast clouds,288.723333333,24.0,,237.0,1.0
2012-10-07 07:00:00,overcast clouds,287.806666667,48.0,,238.0,2.0
2012-10-07 08:00:00,light rain,286.89,72.0,1008.0,240.0,3.0
2012-10-07 09:00:00,light rain,286.75,72.0,1007.0,250.0,3.0
2012-10-07 10:00:00,mist,283.73,93.0,1008.0,310.0,5.0
2012-10-07 11:00:00,mist,283.05,93.0,1008.0,300.0,3.0
2012-10-07 12:00:00,moderate rain,282.38,,,300.0,2.0
2012-10-07 13:00:00,mist,282.16,93.0,1008.0,270.0,3.0
2012-10-07 14:00:00,light rain,282.16,93.0,1007.0,260.0,1.0
2012-10-07 15:00:00,light rain,282.67,,,250.0,3.0
2012-10-07 16:00:00,light rain,282.67,,,240.0,4.0
2012-10-07 17:00:00,broken clouds,283.51,,,240.0,5.0
2012-10-07 18:00:00,broken clouds,284.51,,,240.0,5.0
2012-10-07 19:00:00,overcast clouds,285.42,76.0,1007.0,260.0,5.0
2012-10-07 20:00:00,sky is clear,286.51,,,238.0,2.0
2012-10-07 21:00:00,broken clouds,286.24,87.0,1007.0,260.0,1.0
2012-10-07 22:00:00,light intensity shower rain,286.18,76.0,1007.0,280.0,3.0
2012-10-07 23:00:00,light rain,283.46,81.0,1008.0,280.0,5.0
2012-10-08 00:00:00,overcast clouds,282.87,81.0,1009.0,270.0,4.0
2012-10-08 01:00:00,sky is clear,282.68,,,212.0,2.0
2012-10-08 02:00:00,sky is clear,282.37,,,253.0,0.0
2012-10-08 03:00:00,light rain,282.06,,,277.0,1.0
2012-10-08 04:00:00,light rain,281.67,,,263.0,0.0
2012-10-08 05:00:00,sky is clear,281.5,,,259.0,5.0
2012-10-08 06:00:00,few clouds,280.89,75.0,1013.0,260.0,4.0
2012-10-08 07:00:00,sky is clear,280.82,,,273.0,1.0
2012-10-08 08:00:00,sky is clear,279.78,,,234.0,0.0
2012-10-08 09:00:00,sky is clear,279.03,,,244.0,0.0
2012-10-08 10:00:00,sky is clear,278.33,,,261.0,0.0
2012-10-08 11:00:00,sky is clear,278.4,,,269.0,1.0
2012-10-08 12:00:00,sky is clear,278.39,,,317.0,0.0
2012-10-08 13:00:00,sky is clear,278.63,,,282.0,0.0
2012-10-08 14:00:00,sky is clear,279.57,,,288.0,0.0
2012-10-08 15:00:00,sky is clear,280.78,,,234.0,0.0
2012-10-08 16:00:00,few clouds,282.35,61.0,1018.0,270.0,4.0
2012-10-08 17:00:00,sky is clear,282.37,,,263.0,3.0
2012-10-08 18:00:00,broken clouds,283.05,,1018.0,230.0,5.0
